Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,21.14935889292193,0.3,1.2,20.0,22.0
Timestamp,21.119645083010827,0.3,1.2,20.0,22.0
Timestamp,21.090905170201214,0.3,1.2,20.0,22.0
Timestamp,21.063127557261232,0.3,1.2,20.0,22.0
Timestamp,21.036298055742833,0.3,1.2,20.0,22.0
Timestamp,21.010384649631924,0.3,1.2,20.0,22.0
Timestamp,20.985343544487808,0.3,1.2,20.0,22.0
Timestamp,20.961130014639362,0.3,1.2,20.0,22.0
Timestamp,20.93770372229772,0.3,1.2,20.0,22.0
Timestamp,20.91498538959246,0.3,1.2,20.0,22.0
Timestamp,20.89288748680614,0.3,1.2,20.0,22.0
Timestamp,20.8714054733543,0.3,1.2,20.0,22.0
Timestamp,20.850536984905855,0.3,1.2,20.0,22.0
Timestamp,20.83023317369979,0.3,1.2,20.0,22.0
Timestamp,20.810420696509183,0.3,1.2,20.0,22.0
Timestamp,20.79110125568071,0.3,1.2,20.0,22.0
Timestamp,20.447425808281956,0.3,1.2,20.0,22.0
Timestamp,20.24887952369555,0.3,1.2,20.0,22.0
Timestamp,20.158646425909094,0.3,1.2,20.0,22.0
Timestamp,20.086582844191305,0.3,1.2,20.0,22.0
Timestamp,20.05478253930989,0.3,1.2,20.0,22.0
Timestamp,20.033109996440896,0.3,1.2,20.0,22.0
Timestamp,20.012318081566015,0.3,1.2,20.0,22.0
Timestamp,20.003889996140785,0.3,1.2,20.0,22.0
Timestamp,21.34027114694011,0.3,1.2,20.0,22.0
Timestamp,21.998733835131198,0.3,1.2,20.0,22.0
Timestamp,21.998748987764706,0.3,1.2,20.0,22.0
Timestamp,21.999524480199902,0.3,1.2,20.0,22.0
Timestamp,22.443586050234398,0.3,1.2,20.0,22.0
Timestamp,22.738048457423986,0.3,1.2,20.0,22.0
Timestamp,22.89525555803702,0.3,1.2,20.0,22.0
Timestamp,23.01085111933847,0.3,1.2,20.0,22.0
Timestamp,23.112337435826504,0.3,1.2,20.0,22.0
Timestamp,23.21518230996508,0.3,1.2,20.0,22.0
Timestamp,23.31097978549839,0.3,1.2,20.0,22.0
Timestamp,23.395561759549416,0.3,1.2,20.0,22.0
Timestamp,23.364048473467726,0.3,1.2,20.0,22.0
Timestamp,23.334516858796082,0.3,1.2,20.0,22.0
Timestamp,23.350615429069897,0.3,1.2,20.0,22.0
Timestamp,23.391600540187174,0.3,1.2,20.0,22.0
Timestamp,23.210948428485164,0.3,1.2,20.0,22.0
Timestamp,23.040802345721172,0.3,1.2,20.0,22.0
Timestamp,22.969611618028733,0.3,1.2,20.0,22.0
Timestamp,22.956138726728888,0.3,1.2,20.0,22.0
Timestamp,23.171808217569065,0.3,1.2,20.0,22.0
Timestamp,23.36080177210236,0.3,1.2,20.0,22.0
Timestamp,23.4443202926167,0.3,1.2,20.0,22.0
Timestamp,23.471536132042623,0.3,1.2,20.0,22.0
Timestamp,23.536597730134176,0.3,1.2,20.0,22.0
Timestamp,23.604162318467022,0.3,1.2,20.0,22.0
Timestamp,23.65189966127401,0.3,1.2,20.0,22.0
Timestamp,23.683987103607553,0.3,1.2,20.0,22.0
Timestamp,23.6421934227721,0.3,1.2,20.0,22.0
Timestamp,23.60716374740943,0.3,1.2,20.0,22.0
Timestamp,23.602887304946208,0.3,1.2,20.0,22.0
Timestamp,23.611910528925403,0.3,1.2,20.0,22.0
Timestamp,23.482743491518143,0.3,1.2,20.0,22.0
Timestamp,23.36627931183617,0.3,1.2,20.0,22.0
Timestamp,23.311361961871295,0.3,1.2,20.0,22.0
Timestamp,23.286226487143363,0.3,1.2,20.0,22.0
Timestamp,23.260909534652466,0.3,1.2,20.0,22.0
Timestamp,23.227052292601382,0.3,1.2,20.0,22.0
Timestamp,23.18781485038671,0.3,1.2,20.0,22.0
Timestamp,23.146881380479527,0.3,1.2,20.0,22.0
Timestamp,22.475695335166176,0.3,1.2,20.0,22.0
Timestamp,22.092047639063253,0.3,1.2,20.0,22.0
Timestamp,22.00997873476692,0.3,1.2,20.0,22.0
Timestamp,22.000456039989203,0.3,1.2,20.0,22.0
Timestamp,21.999539574057405,0.3,1.2,20.0,22.0
Timestamp,21.99975221979341,0.3,1.2,20.0,22.0
Timestamp,21.973389021171158,0.3,1.2,20.0,22.0
Timestamp,21.90804671853394,0.3,1.2,20.0,22.0
Timestamp,22.10481926200177,0.3,1.2,20.0,22.0
Timestamp,22.112939319301418,0.3,1.2,20.0,22.0
Timestamp,22.11005435615589,0.3,1.2,20.0,22.0
Timestamp,22.088990665021996,0.3,1.2,20.0,22.0
Timestamp,22.03115012918767,0.3,1.2,20.0,22.0
Timestamp,21.96175853926893,0.3,1.2,20.0,22.0
Timestamp,21.896751260441835,0.3,1.2,20.0,22.0
Timestamp,21.83839997163212,0.3,1.2,20.0,22.0
Timestamp,21.784362213779165,0.3,1.2,20.0,22.0
Timestamp,21.73294085893353,0.3,1.2,20.0,22.0
Timestamp,21.68364246192605,0.3,1.2,20.0,22.0
Timestamp,21.636407644645764,0.3,1.2,20.0,22.0
Timestamp,21.591227006880015,0.3,1.2,20.0,22.0
Timestamp,21.54797544427491,0.3,1.2,20.0,22.0
Timestamp,21.506663965066245,0.3,1.2,20.0,22.0
Timestamp,21.46703801746478,0.3,1.2,20.0,22.0
Timestamp,21.427518781727702,0.3,1.2,20.0,22.0
Timestamp,21.388386036641858,0.3,1.2,20.0,22.0
Timestamp,21.350282784821395,0.3,1.2,20.0,22.0
Timestamp,21.313477592946345,0.3,1.2,20.0,22.0
Timestamp,21.27828476088547,0.3,1.2,20.0,22.0
Timestamp,21.244451198603823,0.3,1.2,20.0,22.0
Timestamp,21.211719795593716,0.3,1.2,20.0,22.0
