Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
00:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
00:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
01:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
01:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
01:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
01:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
02:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
02:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
02:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
02:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
03:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
03:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
03:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
03:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
04:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
04:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
04:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
04:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
05:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
05:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
05:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
05:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
06:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
06:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
06:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
06:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
07:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
